year, country, song, performer, language
2019-05-18, Netherlands, Arcade, Duncan Laurence, English
2018-05-12, Israel, Toy, Netta, English
2017-05-13, Portugal, Amar pelos dois, Salvador Sobral, Portugese
2016-05-14, Ukraine, 1944, Jamala, English
2015-05-23, Sweden, Heroes, Måns Zelmerlöw, English
2014-05-10, Austria, Rise Like a Phoenix, Conchita Wurst, English
2013-05-18, Denmark, Only Teardrops, Emmelie de Forest, English
2012-05-26, Sweden, Eurphoria, Loreen, English
2011-05-14, Azerbaijan, Running Scared, Ell & Nikki, English
2010-05-29, Germany, Satellite, Lena, English
